shn,Tshiat_Gu,n,Han_Ji,Ji_Gi_Kai_Sik,note1,note2,Tshiat_Gu2,unknown
278,莫胡,9,墲,規墓[-/度]地曰墲,,,莫胡,
278,莫胡,10,无,南无出釋典又音無,,,莫胡,
278,莫胡,11,䉑,竹名,,,莫胡,
278,莫胡,12,膜,膜拜胡禮拜也,,,莫胡,
279,薄胡,1,酺,大酺飲酒作樂周禮注云蓋[-/亦]爲壇位如𩁹禜云族長無飲酒之禮因祭酺而與其民以長幼相獻酬焉又漢律禁三人以上羣飲酒故賜酺得會聚飲食也薄胡切十,,,薄胡,
279,薄胡,2,匍,匍匐,,,薄胡,
279,薄胡,3,蜅,蛤蜅,,,薄胡,
279,薄胡,4,荹,荹攎收亂草也,,,薄胡,
279,薄胡,5,樸,樸𠟼縣名在武威𠟼音還,,,薄胡,
279,薄胡,6,菩,梵言菩提漢言王道,,,薄胡,
279,薄胡,7,䔕,膊魚亦雉有䔕肉也,,,薄胡,
279,薄胡,8,蒲,草名似藺可以爲席亦州名舜所都蒲坂秦爲河東郡後魏爲雍州又改爲秦州周改爲蒲州因蒲坂以爲名又姓風俗通漢有詹事蒲昌又苻洪之先家池中蒲生長五丈如竹形時咸[爲/謂]之蒲家因以爲氏又漢複姓有蒲姑蒲城蒲圃三氏出何氏姓苑,,,薄胡,
279,薄胡,9,蒱,摴蒱戲也博物志曰老子入胡作摴蒱,,,薄胡,
279,薄胡,10,䈻,竹笪沈水取魚之具,,,薄胡,
280,戸吳,1,胡,何也又胡虜說文曰牛頷垂也亦姓出安定新蔡二望又漢複姓二氏齊宣王母弟別封母郷逺本胡公近娶母邑故爲胡母氏又胡公之後有公子非因以胡非爲氏又虜複姓南涼錄秃髮壽闐之母姓胡掖氏戸吳切三十,,,戸吳,
280,戸吳,2,𩑶,牛頷垂也,,,戸吳,
280,戸吳,3,𠴱,上同,,,戸吳,
280,戸吳,4,壺,酒器也禮記投壺篇云壺[徑/頸]脩七寸腹脩五寸口徑三寸半容斗五𦫵亦姓風俗通云漢有諫議大夫壺遂,,,戸吳,
280,戸吳,5,狐,狐狢說文曰妖獸也鬼所乗有三德其色中和小前豐後死則首丘又姓左傳晉有狐氏代爲卿大夫,,,戸吳,
280,戸吳,6,瓳,㽃瓳博雅曰㼾甎也,,,戸吳,
280,戸吳,7,餬,寄食又糜也使餬其口於四方是也或作𩚩,,,戸吳,
280,戸吳,8,瑚,瑚璉,,,戸吳,
280,戸吳,9,湖,江湖廣曰湖也,,,戸吳,
280,戸吳,10,鶘,鵜鶘鳥名,,,戸吳,
280,戸吳,11,猢,獑獸名似猨,,,戸吳,
280,戸吳,12,醐,醍醐酥屬,,,戸吳,
280,戸吳,13,𪏻,黏也,,,戸吳,
280,戸吳,14,䊀,上同𪍒,,,戸吳,
280,戸吳,15,𪍒,並俗,,,戸吳,
280,戸吳,16,糊,並俗,,,戸吳,
280,戸吳,17,弧,極也辝也,,,戸吳,
280,戸吳,18,乎,極也辝也,,,戸吳,
280,戸吳,19,𠀒,古文。,,,戸吳,
280,戸吳,20,𪕱,[𪖋/？]𪕱似猨身白𦝫手有長白毛善超坂絕巖也亦作𪕮,,,戸吳,
280,戸吳,21,瓠,葫𤓰又草名,,,戸吳,
280,戸吳,22,葫,葫𤓰又草名,,,戸吳,
280,戸吳,23,㾰,㾰𤻙物在喉中,,,戸吳,
280,戸吳,24,魱,當魱魚名,,,戸吳,
280,戸吳,25,箶,箶簏箭室又竹名,,,戸吳,
280,戸吳,26,䉉,稜也,,,戸吳,
280,戸吳,27,𥶜,𥶜被也出韻略,,,戸吳,
280,戸吳,28,𧛞,𧛞䘸,,,戸吳,
280,戸吳,29,㯛,棗名也大而銳上者本作壺見爾雅,,,戸吳,
280,戸吳,30,虖,歎也,,,戸吳,
281,古胡,1,孤,孤子又虜複姓有獨孤温孤步鹿孤步六孤乙速孤氏古胡切二十八,,,古胡,
281,古胡,2,苽,說文曰雕苽一名蔣也,,,古胡,
281,古胡,3,菰,上同,,,古胡,
281,古胡,4,胍,胍[肫/𦘴]大腹,,,古胡,
281,古胡,5,𡗷,大皃,,,古胡,
281,古胡,6,姑,舅姑又父之姊妹也,,,古胡,
281,古胡,7,辜,罪也,,,古胡,
281,古胡,8,呱,啼聲,,,古胡,
281,古胡,9,泒,水在鴈門,,,古胡,
281,古胡,10,酤,酤酒又胡五昆互二切,,,古胡,
281,古胡,11,觚,酒爵,,,古胡,
281,古胡,12,蛄,螻蛄蟲,,,古胡,
281,古胡,13,箛,竹名,,,古胡,
281,古胡,14,鴣,鷓鴣鳥,,,古胡,
281,古胡,15,橭,木名,,,古胡,
281,古胡,16,𠷞,漢書越[王▼王字當刪▲]巫𠷞祠在雲陽亦小兒病鬼也,,,古胡,
281,古胡,17,沽,水名在髙密,,,古胡,
281,古胡,18,柧,枛棱,,,古胡,
281,古胡,19,𨬕,字林曰𨮓𨬟魯矢左傳作僕姑,,,古胡,
281,古胡,20,䉉,方也本亦作觚,,,古胡,
281,古胡,21,𧇡,𧇡息禮記作姑,,,古胡,
281,古胡,22,盬,陳楚人謂鹽池爲盬出方言又音古,,,古胡,
281,古胡,23,嫴,說文曰保任也,,,古胡,
281,古胡,24,罛,魚罟,,,古胡,
281,古胡,25,軱,大骨也出莊子又盤骨,,,古胡,
281,古胡,26,箍,以篾束物出異字苑,,,古胡,
281,古胡,27,䐻,䐻脯,,,古胡,
281,古胡,28,㼋,𤓰也,,,古胡,
282,同都,1,徒,黨也又步行也空也隷也同都切三十[-/一],"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,2,𨑒,上同,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,3,屠,殺也裂也刳也尸子曰屠者割肉知牛之長少史記樊噲少屠狗亦姓左傳晉有屠岸賈又音除,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,4,瘏,病也,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,5,塗,塗泥也路也亦姓風俗通云漢諫議大夫塗[禪/惲],"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,6,途,道也,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,7,酴,酒名,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,8,駼,騊駼馬山海經曰北海有獸狀如馬名曰騊駼,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,9,𤙛,黃牛虎文,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,10,鵌,鳥名與鼠同穴,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,11,涂,水名在益州,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,12,梌,木名[梚/㭸],"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,13,㭸,爾雅曰謀也說文曰畫計難也,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,14,荼,苦菜,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,15,圖,爾雅曰謀也說文曰畫計難也,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,16,啚,俗本音鄙,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,17,𤺈,廜㢝草菴通俗文曰屋平曰廜㢝,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,18,䣝,郷名,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,19,菟,菟丘地名又音吐,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,20,捈,捈引,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,21,䣄,[-/邾]下邑地名,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,22,䅷,穗也,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,23,嵞,嵞山古國名禹所娶也說文云會稽山也一曰九江當嵞也亦作峹又書作塗,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,24,峹,上同,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,25,𣘻,楸木別名,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,26,鍍,以金飾物又音度,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,27,䤅,𨡭䤅醬也,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,28,蒤,虎杖,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,29,䖘,烏䖘楚謂虎也左傳作於菟,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,30,鷵,爾雅曰[鶩/鸄]鶶鷵郭璞云似烏[倉/蒼]白色,"㭸原作梚,蒤原作⿰氵荼",,同都,
282,同都,31,筡,爾雅曰簢筡中言其中空竹類,"㭸原作梚,蒤原作⿰氵荼",,同都,
283,乃都,1,奴,人之下也乃都切七,,,乃都,
283,乃都,2,㚢,古文,,,乃都,
283,乃都,3,砮,礪也,,,乃都,
283,乃都,4,駑,体馬字林曰駘也,,,乃都,
283,乃都,5,帑,說文曰金幣所藏也又他朗切,,,乃都,
283,乃都,6,孥,妻孥書傳云孥子也,,,乃都,
283,乃都,7,笯,鳥籠,,,乃都,
284,荒烏,1,呼,喚也說文曰外息也又姓列仙傳有仙人呼子先又虜複姓二氏前趙録匈奴貴姓有呼延氏後漢書匈奴四姓有呼衍氏荒烏切又火故切十七,,,荒烏,
284,荒烏,2,嘑,哮嘑周禮曰雞人掌大祭祀夜嘑旦以嘂百官,,,荒烏,
284,荒烏,3,虖,姓也說文曰哮虖也,,,荒烏,
284,荒烏,4,𧦝,亦喚也,,,荒烏,
284,荒烏,5,歑,温吹氣息也,,,荒烏,
284,荒烏,6,戲,古文呼字,,,荒烏,
284,荒烏,7,謼,大叫又火故切,,,荒烏,
284,荒烏,8,膴,無骨腊又音無,,,荒烏,
284,荒烏,9,幠,大也,,,荒烏,
284,荒烏,10,葫,大蒜也張騫使大宛所得[之▼之字當刪▲]食之損人目,,,荒烏,
284,荒烏,11,恗,怯也,,,荒烏,
284,荒烏,12,軤,姓也,,,荒烏,
284,荒烏,13,虍,字林云虎文也,,,荒烏,
284,荒烏,14,苸,草多,,,荒烏,
284,荒烏,15,雐,鳥名,,,荒烏,
284,荒烏,16,䰧,鬼皃,,,荒烏,
284,荒烏,17,滹,滹池水名周禮作虖池,,,荒烏,
285,五乎,1,吾,我也漢改中尉爲執金吾吾御也執金革以御非常亦姓漢有廣陵令吾扈又漢複姓五氏鄭公子有食采於徐吾之郷後以爲氏左傳有鍾吾子其後氏焉昆吾氏昆吾國之後由吾氏秦相由余之後古有肩吾子隱者五乎切二十一,,,五乎,
285,五乎,2,鼯,似鼠一曰飛生亦作𪁙𧋋,,,五乎,
285,五乎,3,𪁙,[上同],,,五乎,
285,五乎,4,𧋋,並上同,,,五乎,
285,五乎,5,吳,吳越又姓本自太伯之後始封於吳因以命氏後季札避國子孫家于魯衞之閒今望在濮陽,,,五乎,
285,五乎,6,浯,水名,,,五乎,
285,五乎,7,䓊,草名似艾,,,五乎,
285,五乎,8,㹳,猿屬,,,五乎,
285,五乎,9,㻍,琨㻍美石,,,五乎,
285,五乎,10,珸,上同,,,五乎,
285,五乎,11,蜈,蜈蚣,,,五乎,
285,五乎,12,郚,郷名在東莞,,,五乎,
285,五乎,13,齬,齟齬又音語,,,五乎,
285,五乎,14,鯃,魚名,,,五乎,
285,五乎,15,娪,美女,,,五乎,
285,五乎,16,鋘,錕鋘山名出金色赤如火作刀可切玉出越絕書,,,五乎,
285,五乎,17,梧,梧桐木名又姓,,,五乎,
285,五乎,18,峿,區峿山名,,,五乎,
285,五乎,19,麌,牝麕也又音俣,,,五乎,
285,五乎,20,𦨳,船名,,,五乎,
285,五乎,21,祦,福也,,,五乎,
286,則吾,1,租,積也稅也則吾切二,,,則吾,
286,則吾,2,蒩,茅[蒩籍/藉]封諸侯蒩以茅又子余切,,,則吾,
287,落胡,1,盧,說文曰飯器也亦姓姜姓之後封於盧以國爲氏出范陽又漢複姓八氏列子有長盧子孟子有屋盧子著書古尊盧氏後氏焉古蒲盧胥善弋亦姜姓左傳齊大夫盧蒲嫳後漢諫[-/議]大夫東郡索盧放何氏姓苑云盧妃氏濟陽人又有湛盧氏亦虜複姓五氏周書豆盧寧傳云其先慕容氏支庶後魏書有吐盧沓盧呼盧東盧等氏又三字姓有[𠮟/吐]伏盧奚計盧莫胡盧三氏俗作盧落胡切三十四,,,落胡,
287,落胡,2,鑪,酒盆又鑪冶也,,,落胡,
287,落胡,3,壚,土黒而䟽,,,落胡,
287,落胡,4,籚,籚西竹出會稽,,,落胡,
287,落胡,5,蘆,蘆葦之未秀者又蘆菔菜名亦虜姓後魏書莫蘆氏後改爲蘆氏,,,落胡,
287,落胡,6,顱,頭顱,,,落胡,
287,落胡,7,髗,上同,,,落胡,
287,落胡,8,鱸,魚名,,,落胡,
287,落胡,9,攎,攎斂,,,落胡,
287,落胡,10,櫨,[◫木⊟𥫗尃/𣝍]櫨柱也又木名,,,落胡,
287,落胡,11,轤,𨏔轤圎轉木也,,,落胡,
287,落胡,12,黸,黒甚,,,落胡,
287,落胡,13,獹,韓獹犬名,,,落胡,
287,落胡,14,鸕,鸕鶿,,,落胡,
287,落胡,15,艫,舟後,,,落胡,
287,落胡,16,纑,布縷,,,落胡,
287,落胡,17,瀘,水名亦州名在蜀,,,落胡,
287,落胡,18,瓐,玉名,,,落胡,
287,落胡,19,爐,火牀出玉篇漢官典職曰尚書郎給女史二人著潔衣服執香爐燒熏,,,落胡,
287,落胡,20,玈,黒弓也,,,落胡,
287,落胡,21,𢐸,俗,,,落胡,
287,落胡,22,㢚,廡也又力古切,,,落胡,
287,落胡,23,𤮧,酒器,,,落胡,
287,落胡,24,嚧,呼豬聲也,,,落胡,
287,落胡,25,矑,目童子也,,,落胡,
287,落胡,26,㿖,集略云癰類,,,落胡,
287,落胡,27,㭔,黃㭔木可染也,,,落胡,
287,落胡,28,䰕,䰕鬣,,,落胡,
287,落胡,29,𧇄,飯器說文曰缻也,,,落胡,
287,落胡,30,𧆨,上同,,,落胡,
287,落胡,31,罏,籀文,,,落胡,
287,落胡,32,蠦,蠦蜰一名蜚又名蝜蠜,,,落胡,
287,落胡,33,㪭,㪆也㪆音邸,,,落胡,
287,落胡,34,𦿊,𦿊會藥名,,,落胡,
288,素姑,1,蘇,紫蘇草也蘇木也滿也悮也又姓出扶風武邑二望素姑切四,,,素姑,
288,素姑,2,穌,息也舒悅也死而更生也,,,素姑,
288,素姑,3,㢝,廜㢝草菴又廜㢝酒元日飲之可除瘟氣,,,素姑,
288,素姑,4,酥,酥酪,,,素姑,
289,昨胡,1,徂,往也昨胡切四,,,昨胡,
289,昨胡,2,䢐,上同,,,昨胡,
289,昨胡,3,殂,死也,,,昨胡,
289,昨胡,4,𣨐,古文,,,昨胡,
290,哀都,1,烏,安也語辝也說文曰孝烏[-/小]也爾雅曰純黒而返哺者謂之烏小而不返哺者謂之鵶又姓左傳齊大夫烏[枚嗚  /枝鳴]又虜姓周上開府烏丸泥又虜三字姓北齊有烏[郍/𨙻]羅愛後魏書有烏石蘭氏烏落蘭氏哀都切二十一,,,哀都,
290,哀都,2,嗚,嗚呼,,,哀都,
290,哀都,3,洿,說文曰濁水不流者,,,哀都,
290,哀都,4,汚,上同又一故切,,,哀都,
290,哀都,5,杇,泥鏝圬,,,哀都,
290,哀都,6,圬,並上同,,,哀都,
290,哀都,7,釫,並上同,,,哀都,
290,哀都,8,鰞,鰞鰂魚月令云九月有寒烏入水化爲烏鰂魚,,,哀都,
290,哀都,9,歍,口相就也,,,哀都,
290,哀都,10,鎢,鎢錥温器,,,哀都,
290,哀都,11,㢪,滿挽弓有所向,,,哀都,
290,哀都,12,於,古作於戲今作嗚呼,,,哀都,
290,哀都,13,瑦,美石,,,哀都,
290,哀都,14,鄔,縣名又音塢,,,哀都,
290,哀都,15,盓,盤盓旋流也又憂俱切,,,哀都,
290,哀都,16,螐,蚅螐蠋蟲也大如指白色,,,哀都,
290,哀都,17,惡,安也,,,哀都,
290,哀都,18,扝,引也,,,哀都,
290,哀都,19,𦶀,𦶀蓲荻也,,,哀都,
290,哀都,20,㮧,㮧椑靑𣐈,,,哀都,
290,哀都,21,鴮,鴮鸅鵜鶘別名俗謂之掏河也,,,哀都,
291,博孤,1,逋,逋懸也博孤切十三,,,博孤,
291,博孤,2,餔,說文云申時食也音步,,,博孤,
291,博孤,3,𥂈,籀文,,,博孤,
291,博孤,4,晡,申時,,,博孤,
291,博孤,5,庯,屋上平,,,博孤,
291,博孤,6,陠,上同,,,博孤,
291,博孤,7,鵏,鵏敊鳥名,,,博孤,
291,博孤,8,𧻷,[䞮𧻷/𧻷䞮]伏地,,,博孤,
291,博孤,9,峬,峬峭好形皃出字林,,,博孤,
291,博孤,10,誧,諫也,,,博孤,
291,博孤,11,秿,刈禾治秿,,,博孤,
291,博孤,12,鯆,鯆䱐魚名亦作𩶉,,,博孤,
291,博孤,13,抪,展舒也又布也,,,博孤,
292,苦胡,1,枯,枯朽也苦胡切十[-/一],,,苦胡,
292,苦胡,2,刳,剖破又判也屠也,,,苦胡,
292,苦胡,3,扝,揚也,,,苦胡,
292,苦胡,4,郀,地名,,,苦胡,
292,苦胡,5,軲,車也又山名亦姓出字統,,,苦胡,
292,苦胡,6,㱠,㱠瘁說文枯也,,,苦胡,
292,苦胡,7,跍,跍蹲皃,,,苦胡,
292,苦胡,8,挎,空也坼也,,,苦胡,
292,苦胡,9,㢪,又[注/汙]乎切,,,苦胡,
292,苦胡,10,橭,木四布也,,,苦胡,
292,苦胡,11,鮬,婢妾魚名,,,苦胡,
293,倉胡,1,麤,說文云行超逺也又字統云警防也鹿之性相背而食慮人獸之害也故從三鹿倉胡切六,,,倉胡,
293,倉胡,2,麁,踈也大也物不精也本亦作麤,,,倉胡,
293,倉胡,3,𧆓,說文云草履也,,,倉胡,
293,倉胡,4,𥼡,米不精也,,,倉胡,
293,倉胡,5,觕,公羊傳曰觕者曰侵精者曰伐,,,倉胡,
293,倉胡,6,𤿚,皮皵惡也,,,倉胡,
294,他胡,1,㻌,美玉他胡切十二,,,他胡,
294,他胡,2,稌,稻也又他古切,,,他胡,
294,他胡,3,悇,廣雅云懷憂皃,,,他胡,
294,他胡,4,嶀,山名,,,他胡,
294,他胡,5,㻯,玉名,,,他胡,
294,他胡,6,𡸂,山名,,,他胡,
294,他胡,7,庩,庯庩屋不平也,,,他胡,
294,他胡,8,䞮,𧻷䞮伏地,,,他胡,
294,他胡,9,梌,銳也,,,他胡,
294,他胡,10,㻬,㻬琈玉名,,,他胡,
294,他胡,11,捈,臥引,,,他胡,
294,他胡,12,䩣,𩍿䩣屧,,,他胡,
295,當孤,1,都,都猶揔也尚書大傳十邑爲都帝王丗紀曰天子所宫曰都又姓[-/蔡]有臨[晉/漢]侯都稽何氏姓苑云今吳興人當孤切七,,,當孤,
295,當孤,2,𥳉,竹名,,,當孤,
295,當孤,3,闍,闉闍城上重門又市遮切,,,當孤,
295,當孤,4,𦘴,𦘴胍大腹,,,當孤,
295,當孤,5,𧷿,賭勝出新字林,,,當孤,
295,當孤,6,醏,𨣱醏醬也,,,當孤,
295,當孤,7,䩲,折皮具牛牽舩出通俗文,,,當孤,
296,普胡,1,𥠵,豆𥠵也普胡切十二,,,普胡,
296,普胡,2,鋪,鋪設也陳也布又音孚,,,普胡,
296,普胡,3,鯆,魚名又江豚別名天欲風則見,,,普胡,
296,普胡,4,𩹲,上同,,,普胡,
296,普胡,5,𨁏,馬蹀跡也,,,普胡,
296,普胡,6,痡,病也又音孚,,,普胡,
296,普胡,7,誧,諫也又音普,,,普胡,
296,普胡,8,豧,豕名,,,普胡,
296,普胡,9,陠,[衰/衺]也,,,普胡,
296,普胡,10,墲,規墓地也,,,普胡,
296,普胡,11,䮒,馬名,,,普胡,
296,普胡,12,𢼹,𢾱𢼹屋壞,,,普胡,
297,徂奚,1,齊,整也中也莊也好也疾也等也亦州名春秋時齊國秦爲郡後魏置州因齊地以名之又姓風俗通氏姓篇序曰四氏於國齊魯宋衞是也徂奚切九,,,徂奚,
297,徂奚,2,臍,膍臍說文作𣬈𪗇,,,徂奚,
297,徂奚,3,麡,麡狼似[鹿/麋]而角向前入林則挂其角故常在淺草中逐入林則搏之出異物志又隮豺二音,,,徂奚,
297,徂奚,4,蠐,蠐螬蟲,,,徂奚,
297,徂奚,5,𪗍,等也,,,徂奚,
297,徂奚,6,懠,詩云天之方懠懠怒也又音劑,,,徂奚,
297,徂奚,7,䶒,好皃又子兮側皆二切,,,徂奚,
297,徂奚,8,癠,病也又音劑,,,徂奚,
297,徂奚,9,𨥳,利也又子兮切,,,徂奚,
298,郎奚,1,黎,衆也又姓黎侯國之後郎奚切二十一,,,郎奚,
298,郎奚,2,犁,墾田器亦耕也山海經曰后稷之孫叔均所作魏略曰皇甫隆爲燉煌太守教民作樓犂也,,,郎奚,
298,郎奚,3,𤛿,上同,,,郎奚,
298,郎奚,4,莉,芘莉織荆,,,郎奚,
298,郎奚,5,黧,黒而黃也,,,郎奚,
298,郎奚,6,藜,藜藿,,,郎奚,
298,郎奚,7,鯬,鯬鯠,,,郎奚,
298,郎奚,8,𦃇,縴𦃇惡絮,,,郎奚,
298,郎奚,9,盠,以瓢爲飲器也,,,郎奚,
298,郎奚,10,邌,徐行皃,,,郎奚,
298,郎奚,11,𨛫,亭名在上黨,,,郎奚,
298,郎奚,12,廲,廲廔綺䆫,,,郎奚,
298,郎奚,13,蔾,蔾蘆藥名,,,郎奚,
298,郎奚,14,筣,竹名,,,郎奚,
298,郎奚,15,驪,穆天子駿馬名盜驪緑耳又力知切,,,郎奚,
298,郎奚,16,瓈,玻瓈寶玉,,,郎奚,
298,郎奚,17,𥌛,𥌛視,,,郎奚,
298,郎奚,18,𩧋,馬屬亦作𩦄,,,郎奚,
298,郎奚,19,㦒,㦒忚欺慢之語出方言,,,郎奚,
298,郎奚,20,謧,弄言又力支切,,,郎奚,
298,郎奚,21,𨿯,𨿯黃鳥,,,郎奚,
299,七稽,1,妻,齊也七稽切又七計切十,,,七稽,
299,七稽,2,萋,草盛皃,,,七稽,
299,七稽,3,淒,雲皃又千弟切,,,七稽,
299,七稽,4,凄,寒也,,,七稽,
299,七稽,5,悽,悲也痛也,,,七稽,
299,七稽,6,鶈,鳥名,,,七稽,
299,七稽,7,郪,縣名在梓州,,,七稽,
299,七稽,8,緀,緀裴文章相錯皃,,,七稽,
299,七稽,9,齌,說文云炊餔疾本子兮切又才細切,,,七稽,
299,七稽,10,霋,說文云霽謂之霋,,,七稽,
300,都奚,1,低,低昂也俛也重也都奚切俗作仾二十[二/三],sum23,,都奚,
300,都奚,2,氐,氐羌說文至也,sum23,,都奚,
300,都奚,3,袛,袛裯短衣,sum23,,都奚,
300,都奚,4,磾,漢有金日磾說文云染[繪/繒]黒石出琅邪山,sum23,,都奚,
300,都奚,5,鞮,革履,sum23,,都奚,
300,都奚,6,腣,腣胿胅腹胿音奚,sum23,,都奚,
300,都奚,7,羝,羝羊,sum23,,都奚,
300,都奚,8,眡,視也,sum23,,都奚,
300,都奚,9,隄,防也,sum23,,都奚,
300,都奚,10,堤,上同,sum23,,都奚,
300,都奚,11,岻,山名,sum23,,都奚,
300,都奚,12,䧑,纂文云姓也,sum23,,都奚,
300,都奚,13,奃,大也,sum23,,都奚,
300,都奚,14,趆,趨也,sum23,,都奚,
300,都奚,15,𡰖,說文云㝿不能行爲人所引曰𡰖𡰡,sum23,,都奚,
300,都奚,16,鍉,歃血器,sum23,,都奚,
300,都奚,17,柢,木根也又音帝,sum23,,都奚,
300,都奚,18,䐎,𦠓䐎強脂,sum23,,都奚,
300,都奚,19,䚣,獸角不正,sum23,,都奚,
300,都奚,20,𥿄,絲滓,sum23,,都奚,
300,都奚,21,揥,指也,sum23,,都奚,
300,都奚,22,㓳,剅㓳以刀解物,sum23,,都奚,
300,都奚,23,䬫,䬫餬,sum23,,都奚,
301,杜奚,1,嗁,泣也說文曰號也杜奚切六十啼,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,2,啼,並上同,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,3,㖒,並上同,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,4,蹏,足也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,5,蹄,上同,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,6,𥶛,提攜,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,7,提,提攜,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,8,詆,訶也又音底,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,9,瑅,玉名,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,10,隄,隄封漢書作提,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,11,桋,樹之長條,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,12,題,書題說文頟也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,13,媞,美好皃爾雅云媞媞安也說文又時尒切諦也一曰妍黠,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,14,𧡨,[現/視]也說文顯也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,15,綈,厚繒也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,16,罤,兔網,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,17,𣹲,研米槌也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,18,𣖅,上同,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,19,締,結又音悌,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,20,蕛,爾雅曰蕛苵也郭璞云蕛似稗布地生穢草也或作稊,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,21,稊,易曰枯楊生稊稊楊之秀也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,22,𦯔,草也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,23,䬾,餹䬾,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,24,醍,醍醐,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,25,褆,衣服好皃又是豸二音,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,26,鵜,鵜鶘,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,27,荑,荑秀,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,28,禔,福也,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,29,䱱,魚黒色,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,30,崹,崥崹山皃,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,31,緹,周禮注緹衣古兵服之遺色又音禮,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,32,鷤,鷤䳏鳥又音遰,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,33,鼶,爾雅曰鼶鼠夏小正曰鼶鼬則穴又音斯,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,34,騠,駃騠馬名又丁奚切,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,35,折,禮記云吉事欲其折折爾謂安舒貌,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,36,䨑,霽雲出字林,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,37,銕,字林云鐵名又說文云古鐵字,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,38,䱱,魚四足者,,,,
301,杜奚,39,䖙,臥也又音梯,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,40,𥉘,𥉘視困皃,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,41,䬫,字木云寄食,䱱重複,厗原作P𠂆辛,杜奚,
301,杜奚,42,䚣,獸角不正又音低,䱱重複,厗原作P𠂆辛,杜奚,
