漢字號,小韻號,漢字,字義解釋
6548,731,鍋,溫器
6549,731,𨍋,車盛膏器
6550,731,楇,上同一曰紡車收絲具
6551,731,瘑,瘡也
6552,731,㽿,瘡也
6553,731,𩰫,說文曰秦名土釜曰𩰫
6554,731,𩰬,說文曰秦名土釜曰𩰫
6555,731,㗻,小兒相應也又音禾
6556,731,緺,綬名
6557,731,堝,甘堝
6558,731,𩾷,鳥名
6559,731,𧒖,螗蜋別名
6560,732,遳,脃也七戈切一
6561,733,𨹄,𨹄堆丁戈切二
6562,733,𣑫,木𣑫也
6563,734,莎,草名亦樹似桄榔其樹出麪蘇禾切十二
6564,734,魦,魚名
6565,734,莏,手挼莏也
6566,734,𢘿,𢘿題縣名在涿郡
6567,734,趖,趖疾
6568,734,蓑,草名可爲雨衣
6569,734,唆,㗻唆小兒相應
6570,734,𧨀,佞也
6571,734,髿,鬖髿髮皃
6572,734,梭,織具晉書陶侃少時漁於雷澤嘗網得一梭以挂於壁上須臾雷雨暴至乃化爲龍而去
6573,734,𣜤,織具晉書陶侃少時漁於雷澤嘗網得一梭以挂於壁上須臾雷雨暴至乃化爲龍而去
6574,734,㛗,女字穆天子傳云盛姫喪天子三女叔㛗爲主也
6575,735,婆,老母稱也薄波切九
6576,735,媻,說文曰奢也
6577,735,鄱,鄱陽縣名在饒州
6578,735,皤,老人白也
6579,735,𩕏,𩕏𩕏勇舞皃說文同上
6580,735,繁,姓也左傳殷人七族有繁氏漢有御史大夫繁延壽又音煩
6581,735,搫,除也潘岳射雉賦云搫場拄翳又披散也亦音盤
6582,735,蔢,蔢䓾草木盛皃
6583,735,碆,纜繳石又音盤
6584,736,㸰,牛無角也徒和切三
6585,736,碢,碾碢
6586,736,堶,飛塼戲也
6587,737,摩,研摩又滅也隱也迫也莫婆切十一
6588,737,𩞁,𩞁食也出異字苑
6589,737,𥂓,杯也又莫加切
6590,737,𡡉,𡡉尼
6591,737,魔,鬼魔
6592,737,䯢,偏病
6593,737,磨,磨礪爾雅曰石謂之磨
6594,737,劘,削也
6595,737,𦟟,漏病
6596,737,𦣆,漏病
6597,737,䭩,哺皃
6598,738,矬,短也昨禾切五
6599,738,痤,癤也
6600,738,銼,銼𨰠小釜
6601,738,㭫,爾雅云座椄慮李今麥李也或從木
6602,738,睉,小目
6603,739,訛,謬也化也動也五禾切七
6604,739,譌,
6605,739,吪,並上同
6606,739,鈋,刓也去角也
6607,739,囮,網鳥者媒
6608,739,魤,魚名
6609,739,𠂬,木節
6610,740,詑,欺也說文曰兗州謂欺曰詑土禾切五
6611,740,𧦭,俗
6612,740,涶,水在西河
6613,740,䛢,䛢詆
6614,740,䜏,退言
6615,741,𩼊,獸名魚身鳥翼落戈切十六
6616,741,摞,理也
6617,741,騾,騾馬也蜀志云後主乘騾車降鄧艾也
6618,741,驘,騾馬也蜀志云後主乘騾車降鄧艾也
6619,741,𦿌,盛土草器
6620,741,鸁,桑飛鳥也
6621,741,𣜄,木名可爲箭笴
6622,741,螺,蜯屬
6623,741,蠃,蜯屬
6624,741,𥢵,穀積也或作𥡜
6625,741,𥡜,穀積也或作𥡜
6626,741,𧄿,草名生水中
6627,741,𨰠,銼𨰠小釜也或作鏍
6628,741,覼,覼縷委曲
6629,741,腡,手指文也
6630,741,蠡,瓠瓢也又禮鹿二音
6631,742,捼,捼莏說文曰摧也一曰兩手相切摩也俗作挼奴禾切二
6632,742,䎠,丸熟
6633,743,波,波浪博禾切六
6634,743,皤,老人白皃又音婆
6635,743,紴,錦類又絛屬也
6636,743,嶓,嶓冢山名
6637,743,番,書曰番番良士爾雅曰番番矯矯勇也
6638,743,碆,石可爲矢鏃也
6639,744,頗,說文曰頭偏也滂禾切又匹我切四
6640,744,坡,坡坂
6641,744,𨸭,𨸭陀不平
6642,744,玻,玻瓈玉西國寶
6643,745,和,爾雅云笙之小者謂之和和順也諧也不堅不柔也亦州名在淮南漢九江都尉居之屬九江郡齊爲和州又姓出汝南河南二望本自羲和之後一云卞和之後晉有和嶠又虜複姓和稽氏後改爲緩氏戶戈切九
6644,745,咊,古文
6645,745,𤖱,棺頭
6646,745,禾,粟苗
6647,745,龢,諧也合也或曰古和字
6648,745,鉌,鉌鑾亦作和
6649,745,䒩,草名
6650,745,㗻,小兒相應
6651,745,盉,調五味器
6652,746,科,程也條也本也品也科斷也苦禾切又苦臥切十四
6653,746,窠,窠窟又巢
6654,746,薖,草名又寬大皃
6655,746,稞,青稞麥名
6656,746,萪,萪藤生海邊葉肕可爲篾也
6657,746,蝌,蝌蚪蟲名爾雅曰科斗活東蝦蟆子也字林從虫
6658,746,㸰,牛無角也
6659,746,犐,牛無角也
6660,746,課,課差又苦臥切
6661,746,簻,簻軸又陟爪切
6662,746,䈖,竹名
6663,746,㽿,禿瘡又古禾切
6664,746,髁,膝骨說文口臥切髀骨也
6665,746,𠏀,美也
6666,747,倭,東海中國烏禾切七
6667,747,濄,水回
6668,747,渦,水坳
6669,747,涹,濁也
6670,747,𡑟,地𡑟窟也
6671,747,踒,躅也
6672,747,𥟿,燕人云多
6673,748,鞾,鞾鞋釋名曰鞾本胡服趙武靈王所服許𦚢切四
6674,748,靴,鞾鞋釋名曰鞾本胡服趙武靈王所服許𦚢切四
6675,748,𢪎,撝也
6676,748,㗾,道經疏云吐氣聲也
6677,749,𦚢,𦚢𩨭手足曲病於靴切二
6678,749,𠏃,𠏃𠋧癡皃出釋典
6679,750,𩨷,手足疾皃去靴切二
6680,750,𩨭,手足疾皃去靴切二
6681,751,伽,伽藍求迦切三
6682,751,茄,茄子菜可食又音加
6683,751,枷,刑具又音加
6684,752,佉,丘伽切四
6685,752,呿,張口皃
6686,752,㰦,欠去
6687,752,𠋧,𠏃𠋧
6688,753,迦,釋迦出釋典居伽切又音加一
6689,754,脞,脃也醋伽切二
6690,754,㛗,訬疾
6691,755,侳,安也子𩨷切二
6692,755,𩛠,骨𩛠出異字苑
6693,756,瘸,腳手病巨靴切一
6694,757,𦣛,驢腸胃也縷𩨷切一
6695,758,麻,麻紵亦姓風俗通云齊大夫麻嬰之後漢有麻達注論語莫霞切八
6696,758,犘,犘牛重千斤出巴中
6697,758,蟆,蝦蟆亦作蟇
6698,758,𪓹,𪓬𪓹似𪓟鼊生海邊沙中肉甚美多膏
6699,758,𩔶,𩔶䫗難語出陸善經字林
6700,758,痲,痳風熱病
6701,758,𥂓,杯也又莫何切
6702,758,㦄,㦄愍
6703,759,車,古史考曰黃帝作車引重致遠少昊時加牛禹時奚仲加馬周公作指南車又姓出魯國南平淮南河南四望本自舜後陳敬仲奔齊爲田氏至漢丞相田千秋以年老得乘小車出入省中時人謂之車丞相子孫因以爲氏漢末避地於魯又複姓二氏世本有齊臨淄大夫車遽氏又有車成氏亦虜複姓魏獻帝命疎屬車焜氏後改爲車氏尺遮切又音居二
6704,759,硨,硨磲
6705,760,奢,張也侈也勝也式車切三
6706,760,賒,不交也
6707,760,畬,燒榛種田又音余
6708,761,邪,琅邪郡名俗作耶瑘亦語助以遮切又似嗟切十三
6709,761,耶,
6710,761,瑘,並見上注
6711,761,釾,鏌釾
6712,761,鎁,鏌釾
6713,761,椰,椰子木名出交州其葉背面相似
6714,761,擨,擨歈舉手相弄
6715,761,斜,斜谷在武功西南入谷百里而至說文抒也又似嗟切
6716,761,䓉,草名
6717,761,𦰳,木名皮可爲索
6718,761,䔑,穗也
6719,761,𦭿,枲屬
6720,761,𥯘,竹名生臨海
6721,762,遮,斷也正奢切四
6722,762,𠌮,𠌮儸健而不德
6723,762,㸙,吳人呼父
6724,762,諸,姓也漢有洛陽令諸於何氏姓苑云吳人又職余切
6725,763,嗟,咨也子邪切十二
6726,763,𧨁,咨也子邪切十二
6727,763,罝,兔罟也詩有兔罝篇
6728,763,蒫,薺實又昨何切
6729,763,謯,說文𧨹也
6730,763,瘥,爾雅云病也又在何切
6731,763,𨲠,長歎
6732,763,袓,縣名似與切
6733,763,㜘,憍也
6734,763,怚,憍也
6735,763,𣩈,小疫
6736,763,䦈,䦈丘山在東海
6737,764,蛇,毒蟲又姓後秦錄姚萇后蛇氏也南安人食遮切又音它三
6738,764,虵,俗
6739,764,荼,爾雅云蔈荂荼即芀也又音徒荂音吁
6740,765,華,草盛也色也說文作䔢榮也崔豹古今注曰堯設誹謗木今之華表也西京記謂交午柱戶花切又呼瓜戶化二切十
6741,765,驊,驊騮周穆王馬
6742,765,鷨,鳥名似雉
6743,765,𧑍,蟲名似蛇字林云𧑍大蛇也出魏興啖小蛇及蝮但張口小蛇自入也
6744,765,鋘,鋘鍫
6745,765,鏵,鋘鍫
6746,765,釫,亦同上
6747,765,樺,木名又戶化切
6748,765,崋,西嶽名也又戶化切
6749,765,划,太撥進船也
6750,766,瓜,說文蓏也廣雅云龍蹄虎掌羊骹兔頭桂髓蜜筩小青大班皆瓜名亦州名本古西戎地左傳范宣子數戎子駒支曰昔秦人迫逐乃祖吾離于瓜州又漢複姓王莽傳有盜賊臨淮瓜田儀古華切七
6751,766,騧,黃馬黑喙
6752,766,緺,青緺綬也
6753,766,婐,女侍又於果切
6754,766,蝸,蝸牛小螺
6755,766,媧,古女后也
6756,766,㧓,引也擊也
6757,767,華,爾雅云華荂也呼瓜切四
6758,767,花,俗今通用
6759,767,譁,諠譁
6760,767,𧪮,諠譁
6761,768,誇,大言也苦瓜切八
6762,768,䠸,䠸𨈚體柔也爾雅作夸毗
6763,768,夸,奢也
6764,768,姱,姱奢皃
6765,768,跨,吳人云坐
6766,768,胯,兩股閒也
6767,768,𠇗,𠇗邪離絕之皃
6768,768,䯞,額上骨也
6769,769,拏,牽也女加切九
6770,769,詉,𧬅詉語皃𧬅張加切
6771,769,挐,絲絮相牽又女書切
6772,769,摣,取也
6773,769,蒘,藸蒘草
6774,769,𧘽,衣敝
6775,769,𧦮,絲𧦮語不解也
6776,769,笯,鳥籠又乃胡切
6777,769,𤓷,爬𤓷以收除也
6778,770,嘉,善也美也又姓左傳晉大夫嘉父古牙切二十六
6779,770,家,居也爾雅云扆內謂之家又姓風俗通漢有家羨爲劇令
6780,770,加,增也上也陵也
6781,770,葭,葭蘆也說文曰葦之未秀者又音遐
6782,770,笳,笳簫卷蘆葉吹之也
6783,770,麚,牡鹿
6784,770,䴥,牡鹿
6785,770,豭,豕也子路佩豭說文曰牡豕也
6786,770,猳,俗
6787,770,痂,瘡痂
6788,770,鴐,鴐鵞鳥
6789,770,枷,枷鎖又連枷打穀具
6790,770,袈,袈裟
6791,770,𣮫,𣮫㲚毛衣
6792,770,跏,跏趺坐也
6793,770,𨔣,不得進也
6794,770,𤠙,𤠙玃
6795,770,𧉪,米中黑蟲
6796,770,茄,荷莖又漢複姓有茄羅氏
6797,770,迦,漢複姓有迦葉氏又居伽切
6798,770,珈,婦人首飾
6799,770,瘕,病也
6800,770,犌,牛絕有力
6801,770,幏,說文曰南郡蠻夷賨布
6802,770,貑,貑羆又貑貜也並見爾雅注
6803,770,蟼,爾雅云蟼蟆蛙類也又音荊
6804,771,遐,遠也胡加切十四
6805,771,蝦,蝦蟆
6806,771,鍜,錏鍜
6807,771,霞,赤氣騰爲雲又漢複姓有霞露氏
6808,771,瑕,玉病也過也又姓左傳周大夫瑕禽又漢複姓有瑕呂氏
6809,771,騢,馬赤白雜色
6810,771,鰕,大鯢
6811,771,䠍,腳下
6812,771,䫗,䫛䫗言語無度
6813,771,碬,礪石也春秋傳曰鄭公孫碬字子石
6814,771,䪗,履跟後帖
6815,771,𩋥,履跟後帖
6816,771,赮,日朝赤色
6817,771,蕸,荷葉
6818,772,葩,花也又草花白亦作皅普巴切七
6819,772,鈀,方言云江東呼鎞箭
6820,772,妑,字林云女字也
6821,772,蚆,貝也爾雅曰蚆博而頯郭璞云頯者中央廣兩頭銳
6822,772,吧,吧呀大口皃
6823,772,舥,舥腳船也
6824,772,𧣃,牛角闊也
6825,773,鴉,烏別名於加切八
6826,773,鵶,烏別名於加切八
6827,773,錏,錏鍜
6828,773,㝞,㝞𡨀作姿態皃𡨀音宅加切
6829,773,椏,方言云江東言樹枝爲椏杈也
6830,773,丫,象物開之形
6831,773,䃁,碨䃁地形不平
6832,773,𠜲,自刎
6833,774,巴,巴蜀又州取國以名焉三巴記云閬白水東南流曲折三迴如巴字亦蟲名又姓後漢有楊州刺史巴祗伯加切八
6834,774,鈀,兵車又音葩
6835,774,笆,有刺竹籬
6836,774,豝,豕也
6837,774,芭,芭蕉
6838,774,㿬,㿬皻鼻病
6839,774,蚆,又匹加切義見上文
6840,774,吧,吧呀小兒忿爭
6841,775,叉,交手初牙切九
6842,775,杈,杈杷田器說文曰杈枝也
6843,775,差,擇也又差舛也
6844,775,靫,靫鞴弓箭室也
6845,775,鎈,錢異名出字諟
6846,775,䐤,腵䐤脯也
6847,775,𠞊,㔆物
6848,775,艖,㔆物
6849,775,䑡,小船名
6850,776,鯊,魚名今之吹沙小魚是也所加切十一
6851,776,魦,魚名今之吹沙小魚是也所加切十一
6852,776,沙,沙汰說文曰水散石也爾雅曰潁爲沙謂大水溢出別爲小水之名亦州取沙角山爲名即三秦記鳴沙山也又姓何氏姓苑云東莞人又漢複姓二氏左傳齊有夙沙衛神農時夙沙氏之後漢書功臣表有昭沙掉尾又百濟有沙吒氏
6853,776,砂,俗
6854,776,裟,袈裟
6855,776,㲚,𣮫㲚毛衣
6856,776,桬,桬棠木名出崐崘山
6857,776,紗,絹屬一曰紡纑也
6858,776,髿,髮髿垂皃
6859,776,𩊮,𩌍𩊮𩌈𩍜履也
6860,776,硰,硰石地名見漢書
6861,777,牙,牙齒又牙旗吳志曰孫權因瑞作黃龍大牙常在軍中諸軍進退視其所向又姓風俗通云周大司徒君牙之後五加切七
6862,777,衙,縣名在馮翊亦衙府又姓秦穆公子食采於衙因氏焉蜀志有晉督護衙傳又音語音魚
6863,777,芽,萌芽
6864,777,齖,䶥齖齒不平正
6865,777,呀,吧呀
6866,777,枒,杈枒
6867,777,吾,漢書金城郡有允吾縣允音鉛
6868,778,樝,似梨而酸或作柤側加切十二
6869,778,柤,上同又煎藥滓
6870,778,𦳏,芹楚葵生水中
6871,778,㪥,以指按也
6872,778,䶥,䶥齖
6873,778,皻,皰鼻
6874,778,抯,說文挹也
6875,778,溠,水名出義陽又側稼切
6876,778,渣,水名出義陽又側稼切
6877,778,𤹡,瘡痂甲也
6878,778,𥡧,赤𥡧稻名
6879,778,浾,棠汁
6880,779,𡨀,㝞𡨀宅加切十五
6881,779,䠧,䠧跱行難皃
6882,779,荼,苦菜又音徒
6883,779,䣝,亭名在郃陽
6884,779,𣘻,春藏草葉可以爲飲巴南人曰葭𣘻
6885,779,茶,俗
6886,779,秅,說文曰秭也周禮云聘禮曰十斗曰斛十六斗曰籔十籔曰秉四秉曰筥十筥曰稯十稯曰秅
6887,779,𡝐,美也
6888,779,𤶠,瘢𤶠瘡痕
6889,779,𦛝,含舌皃
6890,779,𥥸,窊𥥸深皃
6891,779,塗,塗飾又音徒
6892,779,𨼑,丘名
6893,779,梌,吳人云刺木曰梌也
6894,779,䅊,開張屋也又縣名說文作㢉
6895,780,衺,不正也似嗟切四
6896,780,斜,不正也似嗟切四
6897,780,邪,鬼病亦不正也論語曰思無邪
6898,780,䔑,䔑蒿
6899,781,闍,闉闍城上重門也視遮切又德胡切五
6900,781,余,姓也見姓苑出南昌郡
6901,781,鉈,短矛又音夷
6902,781,鍦,
6903,781,𥍸,並上同
6904,782,窊,凹也說文曰汚衺下也烏瓜切六
6905,782,洼,深也亦渥洼水名又於佳切
6906,782,畖,畖留地名在絳州
6907,782,蛙,蝦蟆屬也
6908,782,窪,深也說文曰清水也一曰窊也又水名
6909,782,哇,婬聲
6910,783,髽,婦人喪髻莊華切一
6911,784,檛,棰也左氏傳曰繞朝贈之以策杜預云馬檛也或作簻陟瓜切四
6912,784,簻,棰也左氏傳曰繞朝贈之以策杜預云馬檛也或作簻陟瓜切四
6913,784,𥬲,亦同
6914,784,膼,膇也
6915,785,爬,搔也或作把又姓本杞東樓公之後避難改焉西魏襄州刺史把秀蒲巴切三
6916,785,杷,枇杷木名說文曰收麥器也
6917,785,琶,琵琶樂器
6918,786,楂,水中浮木又姓出何氏姓苑鉏加切六
6919,786,查,
6920,786,槎,二同
6921,786,䶥,䶥齖又音樝
6922,786,㢒,壞也淮南子云㢒屋之下不可坐也
6923,786,苴,詩傳云水中浮草也
6924,787,侘,侘傺失意敕加切傺丑例切四
6925,787,哆,張口也
6926,787,𤵾,𤵾癡皃也
6927,787,㗬,緩口又厚脣也
6928,788,奓,張也陟加切八
6929,788,𧬅,𧬅詉語不正也
6930,788,觰,角上廣也
6931,788,䅊,開張屋也又縣名
6932,788,𤶠,瘡痕
6933,788,咤,達利咤出釋典本音去聲
6934,788,𪗭,噍聲
6935,788,䐒,不密又黏也
6936,789,煆,火氣猛也許加切又呼嫁切六
6937,789,呀,唅呀張口皃又呀呷也
6938,789,谺,字統云谽谺谷中大空皃
6939,789,疨,疨病
6940,789,岈,㟏岈山深之狀
6941,789,颬,吐氣又風皃
6942,790,䶗,大齧也苦加切三
6943,790,㤉,㤍㤉伏態之皃㤍苦交切
6944,790,𡤫,㝞𡤫女作姿態
6945,790,𣘟,乞加切一
6946,791,㚗,大口皃才邪切一
6947,792,若,蜀地名出巴中記人賒切又惹弱二音二
6948,792,婼,婼羌西域國名
6949,793,些,少也寫邪切一
6950,794,爹,羌人呼父也陟邪切一
6951,795,𣢉,歄𣢉猶歄姽也五瓜切二
6952,795,𩨾,䯞𩨾髂骨
6953,796,陽,陰陽說文曰高明也爾雅云山東曰朝陽山西曰夕陽又姓出右北平本自周景王封少子於陽樊後裔避周之亂適燕家於無終因邑命氏秦置右北平子孫仍屬焉又漢複姓二十二氏歐陽氏越王句踐之後封于烏程歐陽亭後因爲氏望出長沙呂氏春秋有辯士高陽魋帝顓頊高陽氏之後漢有東海王中尉青陽精少昊青陽氏之後又有御史孫陽放秦穆公時孫陽伯樂之後魯之公族有名子陽者及衛公子趙陽之後並以名爲氏漢有周陽由淮南王舅周陽侯趙兼之後又駙馬都尉涇陽準秦涇陽君之後世本云偪陽妘姓國爲晉所滅子孫因氏焉左傳晉有梗陽巫皋衛有戲陽速漢有博士中山鮭陽鴻又有葉陽氏秦葉陽君之後列仙傳有沛國陵陽子明止陵陽山得仙其後因山爲氏漢有揚州刺史鮮陽戩後漢有櫟陽侯景丹曾孫汾避亂隴西因封爲氏又長沙太守濮陽逸陳留人也神仙傳有太陽子白日升天春秋釋例周有老陽子修黃老術漢有安陽護軍河東成陽恢何氏姓苑有朱陽氏索陽氏與章切三十二
6954,796,暘,日出暘谷
6955,796,楊,赤莖柳爾雅曰楊蒲柳又姓出弘農天水二望本自周宣王子尚父幽王邑諸楊号曰楊侯後并於晉因爲氏也
6956,796,揚,舉也說也導也明也又州名禹貢曰淮海惟揚州李巡曰江南之氣躁勁厥性輕揚故曰揚州
6957,796,颺,風所飛颺
6958,796,昜,飛也又曲昜縣在交阯
6959,796,羊,牛羊禮記凡祭羊曰柔毛崔豹古今注云羊一名髯須主簿又姓出泰山本自羊舌大夫之後戰國策有羊千者著書顯名又漢複姓二氏列士傳有羊角哀左傳晉大夫有羊舌職
6960,796,样,廣雅云样槌也方言曰懸蠶柱齊謂之样
6961,796,眻,美目又餘亮切
6962,796,佯,詐也或作詳
6963,796,詳,上同本音祥
6964,796,徉,忀徉徙倚
6965,796,洋,水流皃又海名又音祥
6966,796,烊,焇烊出陸善經字林
6967,796,煬,釋金又音恙
6968,796,鍚,兵名又馬額飾
6969,796,𩋬,馬額上靻
6970,796,輰,輰䡵車也
6971,796,敭,明敭
6972,796,瘍,瘍傷也說文云瘍頭瘡也周禮療瘍以五毒攻之
6973,796,鴹,𪄲鴹一足鳥舞則天下雨出字統
6974,796,鰑,赤鱺
6975,796,鸉,白鷢
6976,796,蛘,蟲名
6977,796,禓,道上祭一曰道神又舒羊切
6978,796,崵,說文曰崵山在遼西
6979,796,諹,讙也又音恙
6980,796,瑒,玉名
6981,796,𥂸,杯也
6982,796,𦭵,𦭵葲藥名
6983,796,𦍹,多也
6984,797,詳,審也論也諟也似羊切八
6985,797,洋,水名出齊郡臨胊縣北亦州名本漢成固縣秦爲漢中郡魏置洋州
6986,797,翔,翱翔
6987,797,庠,說文曰禮官養老夏曰校商曰庠周曰序
6988,797,祥,吉也善也
6989,797,𨀘,趨行
6990,797,𦍙,女鬼古作祥禫字
6991,797,痒,病也
6992,798,良,賢也善也首也長也又姓左傳鄭大夫良霄鄭穆公之子子良之後呂張切十八
6993,798,梁,梁棟又州名書曰華陽黑水惟梁州晉太康記云梁者言西方金剛之氣強梁故因名之舜置也秦爲漢中郡後其地入蜀魏末克蜀分廣漢三巴涪陵以北七郡爲梁州梁大同年復移在南鄭亦姓出安定天水河南三望本自秦仲平王封其少子康於夏陽梁山是爲梁伯後爲秦并子孫奔晉以國爲氏又漢複姓十二氏左傳有梁其踁魯伯禽庶子梁其之後又魯有仲梁懷晉有梁餘子養梁由靡秦有強梁皋莊子有卜梁倚楚文王庶子有食邑諸梁者其後爲氏魯有穀梁赤治春秋史記有將梁氏漢光武時有侍御史梁垣烈新垣衍之後漢明帝時有梁成恢善歷數
6994,798,粱,稻粱廣志曰遼東有赤粱魏武以爲粥也俗作梁
6995,798,粮,粮食
6996,798,糧,粮食
6997,798,涼,薄也亦寒涼也又州名禹貢雍州之域古西戎地也六國時至秦屬戎狄月氏居焉秦置三十六郡西北唯有隴西北地二郡於漢屬涼州部至武帝改雍州爲涼州後獻帝分渭川河西四郡爲雍州建安十八年復改爲涼州又姓魏志有太子太傅山陽涼茂
6998,798,凉,俗
6999,798,𩗬,北風也又力向切
7000,798,量,量度又力向切
7001,798,蜋,蜣蜋蟲一名蛣蜣又音郎
7002,798,踉,跳踉也又音郎
7003,798,椋,木名
7004,798,䝶,賦也
7005,798,綡,冠纚
7006,798,𣄴,薄也又力尚切
7007,798,㹁,牻牛駁色
7008,798,䣼,漿水
7009,798,輬,轀輬車名
7010,799,香,說文作𪏰芳也漢書云尚書郎懷香握蘭許良切五
7011,799,皀,稻香
7012,799,薌,穀氣
7013,799,鄉,鄉黨釋名曰萬二千五百家爲鄉鄉向也眾所向也又姓出姓苑
7014,799,膷,牛羹
7015,800,商,金音度也張也降也常也亦州名即古商國後魏置洛州周爲商州取商於地爲名又姓家語有商瞿式羊切十八
7016,800,𧶜,說文曰行賈也典籍通用商漢書曰通財鬻貨曰商白虎通云居賣曰賈通物曰商俗作𧷞
7017,800,傷,傷損
7018,800,𥏻,傷也又且羊切
7019,800,殤,殤夭
7020,800,慯,憂皃
7021,800,觴,酒器俗作𨢩
7022,800,湯,湯湯流皃本他郎切
7023,800,蔏,蔏陸草也
7024,800,𪄲,𪄲鶊又𪄲鴹也
7025,800,螪,螪羊蟲
7026,800,㲽,水名
7027,800,䵮,說文云赤黑色又餘諒切
7028,800,禓,道上祭也又以章切
7029,800,饟,饋也又式尚切
7030,800,䵼,煑也亦作𩰱
7031,800,塲,耕塲
7032,800,𤳈,耕塲
7033,801,房,房室亦州名即春秋時防渚也秦爲房陵郡唐武德爲房州又姓出清河濟南河南三望本自堯子丹朱舜封爲房邑侯子陵以父封爲氏陵四十八代孫雅王莽末爲清河太守始居清河雅十九代孫諶隨慕容德南遷因居濟南郡生四子豫坦邃熙号四龍今稱四祖房氏符方切七
7034,801,防,防禦也隄防也
7035,801,坊,上同見禮又音方
7036,801,魴,魚名
7037,801,方,方與縣名又府良切
7038,801,肪,脂肪又音方
7039,801,鴋,澤鸆也又音方
7040,802,章,篇章又章甫殷冠名禮記曰孔子長居宋冠章甫之冠又明也采也程也又姓秦將有章邯諸良切十五
7041,802,漳,水名山海經曰漳水出荊山南注于沮水
7042,802,樟,豫樟木名
7043,802,慞,懼也
7044,802,璋,半珪曰璋詩云乃生男子載弄之璋
7045,802,彰,明也
7046,802,墇,壅也又之尚切
7047,802,障,隔也又丘山頂上平又音去聲
7048,802,麞,鹿屬
7049,802,獐,鹿屬
7050,802,鄣,邑名在紀
7051,802,蔁,蔁柳當陸別名
7052,802,𪅂,吳人呼水雞爲𪅂渠
7053,802,𩌬,𩌬泥鞍飾
7054,802,暲,日明
7055,803,昌,盛也說文曰美言也一曰日光也又姓後漢有東海相昌稀尺良切八
7056,803,裮,衣披不帶
7057,803,倡,樂也優也又音唱
7058,803,猖,猖狂
7059,803,閶,閶闔
7060,803,琩,耳璫
7061,803,鯧,鯧鯸魚名
7062,803,菖,菖蒲藥也
7063,804,羌,章也強也發語端也說文云西戎牧羊人字从人羊又姓晉有石冰將羌迪去羊切四
7064,804,猐,上同或從犬
7065,804,𡸓,古文
7066,804,蜣,蜣蜋
7067,805,薑,菜名說文云御濕之菜史記云千畦薑韭與千戶侯等居良切十五
7068,805,𧅁,菜名說文云御濕之菜史記云千畦薑韭與千戶侯等居良切十五
7069,805,畺,說文界也
7070,805,疆,說文界也
7071,805,壃,俗
7072,805,畕,說文曰比田也
7073,805,㹔,牛長脊一曰白脊牛
7074,805,繮,馬組
7075,805,韁,馬組
7076,805,殭,死不朽也
7077,805,礓,礓石
7078,805,橿,一名檍萬年木又云鋤橿鋤柄也
7079,805,姜,姓也出天水齊姓本自炎帝居於姜水因爲氏漢初以豪族徙關中遂居天水也
7080,805,䗵,蠶白死
7081,805,僵,仆也
7082,806,長,久也遠也常也永也直良切又直向丁丈二切八
7083,806,萇,萇楚蔓生如桃又姓左傳周有大夫萇弘
7084,806,腸,腸胃釋名曰腸暢也通暢胃氣也
7085,806,場,祭神道處又治穀地也
7086,806,䠆,䠆跪方言曰東齊北燕之閒謂跪曰䠆
7087,806,㙊,道也
7088,806,䗅,蚰蜒別名
7089,806,瓺,瓶也又除向切
7090,807,張,張施也又姓出清河南陽吳郡安定燉煌武威范陽犍爲沛國梁國中山汲郡河內高平十四望本自軒轅第五子揮始造弦寔張網羅世掌其職後因氏焉風俗傳云張王李趙黃帝賜姓也陟良切四
7091,807,餦,餦餭餳也
7092,807,粻,食米
7093,807,漲,水大皃又音帳
7094,808,穰,禾莖也又姓齊將穰苴之後何氏姓苑云今高乎人汝陽切十七
7095,808,禳,除殃祭也
7096,808,攘,以手禦又竊也除也逐也止也揎袂出臂曰攘又音讓
7097,808,𣀮,盜也
7098,808,鑲,鉤鑲兵器又息羊切
7099,808,𨟚,縣名在南陽
7100,808,躟,疾行
7101,808,瀼,露濃皃
7102,808,𩆶,露濃皃
7103,808,獽,戎屬
7104,808,儴,爾雅曰因也
7105,808,蘘,蘘荷
7106,808,䉴,䉴䉛𥂖米竹器
7107,808,鬤,𩬹鬤亂毛
7108,808,勷,劻勷迫皃
7109,808,瓤,瓜實也又女良切
7110,808,孃,亂也又女良切
7111,809,方,四方也正也道也比也類也法術也亦官名續漢書曰尚方令掌上手工巧作御刀劒諸好器物也又姓史記周大夫方叔之後府良切十三
7112,809,汸,併船也說文本作方或從水
7113,809,坊,坊巷亦州名本上郡地周於今州界置馬坊武德初置坊州因馬坊爲名漢官宮有太子坊坊亦省名又音房
7114,809,蚄,虸蚄蟲名
7115,809,肪,脂肪
7116,809,邡,什邡縣在漢州
7117,809,鴋,鷝鴋鳥名人面鳥身
7118,809,枋,木名可以作車又蜀以木偃魚爲枋
7119,809,鈁,鑊屬
7120,809,牥,牛名
7121,809,趽,研也說文曰曲脛馬也
7122,809,䄱,禾名
7123,809,匚,受物之器又一斗曰匚也
7124,810,襄,除也上也駕也返也亦州名本楚之西津魏武置襄陽郡西魏改爲襄州因水立名又姓魯莊公子襄仲之後子孫以諡爲氏後漢有襄楷息良切十三
7125,810,廂,廊也亦曰東西室
7126,810,湘,水名在零陵
7127,810,相,共供也瞻視也崔豹古今注云相風烏夏禹作亦相思木名又姓出姓苑又息亮切
