識別號,字,小韻切語,拼音,字義,上字表識別號,聲母,清濁,聲母拼音碼,小韻識別號,小韻字序,韻母,韻母拼音碼,調,四聲八調,拼音調號,備註
7631,鶧,於驚,ing1,繼鶧鳥名,35,影,全清,Ø,873,5,庚二開,ing,平,清平,1,
7632,英,於驚,ing1,華也榮而不實曰英也又英俊亦姓漢有英布,35,影,全清,Ø,873,6,庚二開,ing,平,清平,1,
7633,瑛,於驚,ing1,玉光,35,影,全清,Ø,873,7,庚二開,ing,平,清平,1,
7634,㿮,於驚,ing1,靑皃,35,影,全清,Ø,873,8,庚二開,ing,平,清平,1,
7635,媖,於驚,ing1,女人美稱,35,影,全清,Ø,873,9,庚二開,ing,平,清平,1,
7636,楧,於驚,ing1,楧梅今之雀梅,35,影,全清,Ø,873,10,庚二開,ing,平,清平,1,
7637,磅,撫庚,hing1,小石落聲撫庚切四,18,敷,次清,h,874,1,庚二開,ing,平,清平,1,
7638,恲,撫庚,hing1,滿也,18,敷,次清,h,874,2,庚二開,ing,平,清平,1,
7639,亨,撫庚,hing1,煑也俗作烹又許庚許兩二切,18,敷,次清,h,874,3,庚二開,ing,平,清平,1,
7640,澎,撫庚,hing1,澎𣽎水皃又音彭,18,敷,次清,h,874,4,庚二開,ing,平,清平,1,
7641,平,符兵,hing5,正也和也易也亦州名古山戎孤竹白狄[𡵟/肥]子二國之地秦爲遼西郡隨爲北平郡武德初爲平州有盧龍塞又姓齊相晏平仲之後漢有丞相平當又漢複姓何氏姓苑云有平陵乎寧二氏符兵切八,19,奉,全濁,h,875,1,庚二開,ing,平,濁平,5,
7642,評,符兵,hing5,評量亦評事大理寺官唐初置十二貟又音病,19,奉,全濁,h,875,2,庚二開,ing,平,濁平,5,
7643,苹,符兵,hing5,葭一曰蒲白又曰萍別名又云藾蕭也,19,奉,全濁,h,875,3,庚二開,ing,平,濁平,5,
7644,枰,符兵,hing5,枰仲木名又博局也,19,奉,全濁,h,875,4,庚二開,ing,平,濁平,5,
7645,泙,符兵,hing5,水名≆說文谷也,19,奉,全濁,h,875,5,庚二開,ing,平,濁平,5,
7646,坪,符兵,hing5,地平,19,奉,全濁,h,875,6,庚二開,ing,平,濁平,5,
7647,胓,符兵,hing5,牛羊脂也,19,奉,全濁,h,875,7,庚二開,ing,平,濁平,5,
7648,蚲,符兵,hing5,蚌蚲,19,奉,全濁,h,875,8,庚二開,ing,平,濁平,5,
7649,驚,舉卿,king1,懼也≆說文曰馬駭也舉卿切七,1,見,全清,k,876,1,庚二開,ing,平,清平,1,
7650,京,舉卿,king1,大也廣雅曰四起曰京風俗通曰京非人力所成天地性自然也京[-/師]義亦取此公羊曰京者大也師者衆也天子之居必以衆大之辝言之又姓風俗通云鄭武公子段封於京號京城大叔其後氏焉漢有京房,1,見,全清,k,876,2,庚二開,ing,平,清平,1,
7651,荆,舉卿,king1,荆楚亦木名可染又州名夏及周並爲州秦爲南郡即郢都之渚宫又姓燕刺客荆軻,1,見,全清,k,876,3,庚二開,ing,平,清平,1,
7652,麠,舉卿,king1,獸名一角似[麋/麃]牛尾,1,見,全清,k,876,4,庚二開,ing,平,清平,1,
7653,麖,舉卿,king1,上同,1,見,全清,k,876,5,庚二開,ing,平,清平,1,
7654,鶁,舉卿,king1,羌鶁鳥,1,見,全清,k,876,6,庚二開,ing,平,清平,1,
7655,蟼,舉卿,king1,蟼蛙,1,見,全清,k,876,7,庚二開,ing,平,清平,1,
7656,明,武兵,bing5,光也昭也通也發也又姓出平原河南山公集有平原明普武兵切五,20,微,次濁,b,877,1,庚二開,ing,平,濁平,5,
7657,盟,武兵,bing5,盟約殺牲歃血也周禮有司盟,20,微,次濁,b,877,2,庚二開,ing,平,濁平,5,
7658,𥁰,武兵,bing5,上同,20,微,次濁,b,877,3,庚二開,ing,平,濁平,5,
7659,䳟,武兵,bing5,鷦䳟似鳳南方神鳥,20,微,次濁,b,877,4,庚二開,ing,平,濁平,5,
7660,鳴,武兵,bing5,嘶鳴又姓出姓苑,20,微,次濁,b,877,5,庚二開,ing,平,濁平,5,
7661,棖,直庚,ting5,門兩旁木直庚切七,11,澄,全濁,t,878,1,庚二開,ing,平,濁平,5,
7662,盯,直庚,ting5,𥋝盯視皃,11,澄,全濁,t,878,2,庚二開,ing,平,濁平,5,
7663,澄,直庚,ting5,水淸定又音懲,11,澄,全濁,t,878,3,庚二開,ing,平,濁平,5,
7664,掁,直庚,ting5,掁觸,11,澄,全濁,t,878,4,庚二開,ing,平,濁平,5,
7665,䟫,直庚,ting5,[䟫/𣥺]距也。周禮曰：唯角䟫之。,11,澄,全濁,t,878,5,庚二開,ing,平,濁平,5,
7666,挰,直庚,ting5,舉也,11,澄,全濁,t,878,6,庚二開,ing,平,濁平,5,
7667,憕,直庚,ting5,憕𢘌失志又音懲,11,澄,全濁,t,878,7,庚二開,ing,平,濁平,5,
7668,趟,竹盲,ting1,䞴趟躍跳竹盲切䞴陟交切二,9,知,全清,t,879,1,庚二開,ing,平,清平,1,
7669,𩘽,竹盲,ting1,䬝𩘽狂風,9,知,全清,t,879,2,庚二開,ing,平,清平,1,
7670,榮,永兵,ing5,榮華又姓漢有榮啓期永兵切六,38,為,次濁,Ø,880,1,庚二開,ing,平,濁平,5,
7671,禜,永兵,ing5,祭名又音詠,38,為,次濁,Ø,880,2,庚二開,ing,平,濁平,5,
7672,蠑,永兵,ing5,蠑螈蜥蝪別名,38,為,次濁,Ø,880,3,庚二開,ing,平,濁平,5,
7673,瑩,永兵,ing5,玉色詩云充耳秀瑩母烏定切,38,為,次濁,Ø,880,4,庚二開,ing,平,濁平,5,
7674,揘,永兵,ing5,拔也,38,為,次濁,Ø,880,5,庚二開,ing,平,濁平,5,
7675,嶸,永兵,ing5,崢嶸又戸萌切,38,為,次濁,Ø,880,6,庚二開,ing,平,濁平,5,
7676,兵,甫明,hing1,戎也周禮有司兵掌五兵五盾丗本曰蚩尤以金作兵器也甫明切一,17,非,全清,h,881,1,庚二開,ing,平,清平,1,
7677,兄,許榮,hing1,爾雅男子先生曰兄≆說文長也許榮切一,36,曉,次清,h,882,1,庚二開,ing,平,清平,1,
7678,卿,去京,khing1,≆說文章也公卿春秋漢含孳曰三公象五岳九卿法河海三公法三台九卿法北斗釋名曰漢置十二卿正卿九太常光禄衞尉太僕廷尉鴻臚宗正司農少府又姓風俗通云趙相虞卿之後去京切一,2,溪,次清,kh,883,1,庚二開,ing,平,清平,1,
7679,生,所庚,sing5,生長也易曰天地之大德曰生又姓出姓苑所庚切十,29,疏,全濁,s,884,1,庚二開,ing,平,濁平,5,
7680,笙,所庚,sing5,樂器也禮記女媧造笙簧釋名曰笙生也象物貫地而生也又簟也吳都賦曰桃笙象簟,29,疏,全濁,s,884,2,庚二開,ing,平,濁平,5,
7681,牲,所庚,sing5,犧牲,29,疏,全濁,s,884,3,庚二開,ing,平,濁平,5,
7682,猩,所庚,sing5,猩猩能言似猿聲如小兒也,29,疏,全濁,s,884,4,庚二開,ing,平,濁平,5,
7683,狌,所庚,sing5,上同,29,疏,全濁,s,884,5,庚二開,ing,平,濁平,5,
7684,鉎,所庚,sing5,鐵鉎,29,疏,全濁,s,884,6,庚二開,ing,平,濁平,5,
7685,甥,所庚,sing5,外甥又姓風俗通云晉大夫吕甥之後,29,疏,全濁,s,884,7,庚二開,ing,平,濁平,5,
7686,䴤,所庚,sing5,獸名大如兔也,29,疏,全濁,s,884,8,庚二開,ing,平,濁平,5,
7687,鼪,所庚,sing5,鼪鼬鼠也,29,疏,全濁,s,884,9,庚二開,ing,平,濁平,5,
7688,珄,所庚,sing5,金色,29,疏,全濁,s,884,10,庚二開,ing,平,濁平,5,
7689,擎,渠京,khing5,舉也渠京切十一,3,群,全濁,kh,885,1,庚二開,ing,平,濁平,5,
7690,勍,渠京,khing5,強,3,群,全濁,kh,885,2,庚二開,ing,平,濁平,5,
7691,黥,渠京,khing5,黒刑在面䵞,3,群,全濁,kh,885,3,庚二開,ing,平,濁平,5,
7692,䵞,渠京,khing5,並上同,3,群,全濁,kh,885,4,庚二開,ing,平,濁平,5,
7693,剠,渠京,khing5,並上同,3,群,全濁,kh,885,5,庚二開,ing,平,濁平,5,
7694,䲔,渠京,khing5,大魚雄曰䲔雌曰鯢,3,群,全濁,kh,885,6,庚二開,ing,平,濁平,5,
7695,鯨,渠京,khing5,上同,3,群,全濁,kh,885,7,庚二開,ing,平,濁平,5,
7696,檠,渠京,khing5,所以正弓,3,群,全濁,kh,885,8,庚二開,ing,平,濁平,5,
7697,樈,渠京,khing5,鑿柄,3,群,全濁,kh,885,9,庚二開,ing,平,濁平,5,
7698,葝,渠京,khing5,山薤,3,群,全濁,kh,885,10,庚二開,ing,平,濁平,5,
7699,䫆,渠京,khing5,頸也,3,群,全濁,kh,885,11,庚二開,ing,平,濁平,5,
7700,迎,語京,ging5,逢也語京切一,4,疑,次濁,g,886,1,庚二開,ing,平,濁平,5,
7701,行,戸庚,hing5,行步也適也往也去也又姓周有大行人之官其後氏焉戸庚切又戸剛戸浪下孟三切十,37,匣,全濁,h,887,1,庚二開,ing,平,濁平,5,
7702,衡,戸庚,hing5,橫也平也又姓風俗通云阿衡伊尹之後又云[-/公]衡魯公[字/子]後乃氏焉,37,匣,全濁,h,887,2,庚二開,ing,平,濁平,5,
7703,䯒,戸庚,hing5,牛脊後骨,37,匣,全濁,h,887,3,庚二開,ing,平,濁平,5,
7704,胻,戸庚,hing5,牛勢胻也,37,匣,全濁,h,887,4,庚二開,ing,平,濁平,5,
7705,洐,戸庚,hing5,溝水也,37,匣,全濁,h,887,5,庚二開,ing,平,濁平,5,
7706,筕,戸庚,hing5,筕篖竹笪,37,匣,全濁,h,887,6,庚二開,ing,平,濁平,5,
7707,珩,戸庚,hing5,佩上玉,37,匣,全濁,h,887,7,庚二開,ing,平,濁平,5,
7708,桁,戸庚,hing5,屋桁,37,匣,全濁,h,887,8,庚二開,ing,平,濁平,5,
7709,蘅,戸庚,hing5,杜蘅香草大者曰杜若也爾雅注曰杜衡似葵而香字不從艹,37,匣,全濁,h,887,9,庚二開,ing,平,濁平,5,
7710,𦣍,戸庚,hing5,熟肉,37,匣,全濁,h,887,10,庚二開,ing,平,濁平,5,
7711,鬤,乃庚,ning5,䰃鬤亂髮皃。乃庚切。六,8,泥,次濁,n,888,1,庚二開,ing,平,濁平,5,
7712,㲰,乃庚,ning5,犬多毛皃,8,泥,次濁,n,888,2,庚二開,ing,平,濁平,5,
7713,𠽽,乃庚,ning5,說文云：亂也。一曰窒𠽽。,8,泥,次濁,n,888,3,庚二開,ing,平,濁平,5,
7714,獰,乃庚,ning5,惡也,8,泥,次濁,n,888,4,庚二開,ing,平,濁平,5,
7715,𥣗,乃庚,ning5,穀芒長也,8,泥,次濁,n,888,5,庚二開,ing,平,濁平,5,
7716,𧂘,乃庚,ning5,說文曰牂𧂘可以作縻綆,8,泥,次濁,n,888,6,庚二開,ing,平,濁平,5,
7717,耕,古莖,king1,犂也周書曰神農之時天雨粟神農耕田而種之古莖切一,1,見,全清,k,889,1,耕開,ing,平,清平,1,
7718,鏗,口莖,khing1,鏗鏘金石聲也口莖切十五,2,溪,次清,kh,890,1,耕開,ing,平,清平,1,
7719,銵,口莖,khing1,上同,2,溪,次清,kh,890,2,耕開,ing,平,清平,1,
7720,䡰,口莖,khing1,車鞕又車堅牢,2,溪,次清,kh,890,3,耕開,ing,平,清平,1,
7721,鳽,口莖,khing1,雝渠鳥名,2,溪,次清,kh,890,4,耕開,ing,平,清平,1,
7722,誙,口莖,khing1,莊子曰誙誙如也,2,溪,次清,kh,890,5,耕開,ing,平,清平,1,
7723,牼,口莖,khing1,牛膝骨又人名宋有司馬牼,2,溪,次清,kh,890,6,耕開,ing,平,清平,1,
7724,𡷨,口莖,khing1,或作硎谷名在麗山昔秦密種𤓰處,2,溪,次清,kh,890,7,耕開,ing,平,清平,1,
7725,硻,口莖,khing1,≆說文云餘堅也,2,溪,次清,kh,890,8,耕開,ing,平,清平,1,
7726,殸,口莖,khing1,敵也,2,溪,次清,kh,890,9,耕開,ing,平,清平,1,
7727,㧶,口莖,khing1,琴聲,2,溪,次清,kh,890,10,耕開,ing,平,清平,1,
7728,䡩,口莖,khing1,車聲,2,溪,次清,kh,890,11,耕開,ing,平,清平,1,
7729,硜,口莖,khing1,硜硜小人皃,2,溪,次清,kh,890,12,耕開,ing,平,清平,1,
7730,摼,口莖,khing1,撞也,2,溪,次清,kh,890,13,耕開,ing,平,清平,1,
7731,㰢,口莖,khing1,㰠㰢,2,溪,次清,kh,890,14,耕開,ing,平,清平,1,
7732,羥,口莖,khing1,羊名,2,溪,次清,kh,890,15,耕開,ing,平,清平,1,
7733,甍,莫耕,ming5,屋棟也莫耕切十一,16,明,次濁,m,891,1,耕開,ing,平,濁平,5,
7734,𣞑,莫耕,ming5,上同,16,明,次濁,m,891,2,耕開,ing,平,濁平,5,
7735,䉚,莫耕,ming5,竹筒,16,明,次濁,m,891,3,耕開,ing,平,濁平,5,
7736,萌,莫耕,ming5,萌牙,16,明,次濁,m,891,4,耕開,ing,平,濁平,5,
7737,氓,莫耕,ming5,民也,16,明,次濁,m,891,5,耕開,ing,平,濁平,5,
7738,甿,莫耕,ming5,上同,16,明,次濁,m,891,6,耕開,ing,平,濁平,5,
7739,嫇,莫耕,ming5,嫈嫇新婦皃,16,明,次濁,m,891,7,耕開,ing,平,濁平,5,
7740,蕄,莫耕,ming5,爾雅云存存蕄蕄在也又莫登切本亦作萌又作𢡗,16,明,次濁,m,891,8,耕開,ing,平,濁平,5,
7741,𥋝,莫耕,ming5,𥋝盯,16,明,次濁,m,891,9,耕開,ing,平,濁平,5,
7742,𧂛,莫耕,ming5,[甍/？]苕可爲帚,16,明,次濁,m,891,10,耕開,ing,平,濁平,5,
7743,𥌯,莫耕,ming5,𥉸𥌯視不分明,16,明,次濁,m,891,11,耕開,ing,平,濁平,5,
7744,浜,布耕,ping1,布耕切安船溝又布耿切[三/二][捠/㙃],13,幫,全清,p,892,1,耕開,ing,平,清平,1,
7745,捠,布耕,ping1,冢口穴也,13,幫,全清,p,892,2,耕開,ing,平,清平,1,
7746,宏,戸萌,hong5,大也戸萌切十六,37,匣,全濁,h,893,1,耕合,ong,平,濁平,5,
7747,紘,戸萌,hong5,冠卷也又八紘,37,匣,全濁,h,893,2,耕合,ong,平,濁平,5,
7748,紭,戸萌,hong5,網紭,37,匣,全濁,h,893,3,耕合,ong,平,濁平,5,
7749,閎,戸萌,hong5,爾雅曰衖門謂之閎郭璞云閎衖頭門又曰所以止扉謂之閎郭璞云門辟旁長橛也又姓漢有閎孺,37,匣,全濁,h,893,4,耕合,ong,平,濁平,5,
7750,嶸,戸萌,hong5,崢嶸山峻,37,匣,全濁,h,893,5,耕合,ong,平,濁平,5,
7751,嵤,戸萌,hong5,上同,37,匣,全濁,h,893,6,耕合,ong,平,濁平,5,
7752,𧮯,戸萌,hong5,谷中響一曰谷名也,37,匣,全濁,h,893,7,耕合,ong,平,濁平,5,
7753,耾,戸萌,hong5,耳語,37,匣,全濁,h,893,8,耕合,ong,平,濁平,5,
7754,翃,戸萌,hong5,蟲飛,37,匣,全濁,h,893,9,耕合,ong,平,濁平,5,
7755,浤,戸萌,hong5,浤浤汨汨水波之勢,37,匣,全濁,h,893,10,耕合,ong,平,濁平,5,
7756,竑,戸萌,hong5,量度周禮考工曰故竑其輻,37,匣,全濁,h,893,11,耕合,ong,平,濁平,5,
7757,宖,戸萌,hong5,屋響又烏宏切,37,匣,全濁,h,893,12,耕合,ong,平,濁平,5,
7758,鈜,戸萌,hong5,金聲,37,匣,全濁,h,893,13,耕合,ong,平,濁平,5,
7759,吰,戸萌,hong5,噌吰鐘音,37,匣,全濁,h,893,14,耕合,ong,平,濁平,5,
7760,𥐪,戸萌,hong5,玉篇云石聲也,37,匣,全濁,h,893,15,耕合,ong,平,濁平,5,
7761,彋,戸萌,hong5,弸彋開張也,37,匣,全濁,h,893,16,耕合,ong,平,濁平,5,
7762,莖,戸耕,hing5,草木榦也戸耕切三,37,匣,全濁,h,894,1,耕開,ing,平,濁平,5,
7763,䪫,戸耕,hing5,樂名亦作莖,37,匣,全濁,h,894,2,耕開,ing,平,濁平,5,
7764,牼,戸耕,hing5,牛膝下骨又苦耕切,37,匣,全濁,h,894,3,耕開,ing,平,濁平,5,
7765,朾,中莖,ting1,伐木聲也中莖切七,9,知,全清,t,895,1,耕開,ing,平,清平,1,
7766,丁,中莖,ting1,上同詩曰伐木丁丁,9,知,全清,t,895,2,耕開,ing,平,清平,1,
7767,玎,中莖,ting1,玎玲玉聲又齊太公子伋諡玎公出≆說文也,9,知,全清,t,895,3,耕開,ing,平,清平,1,
7768,𠑅,中莖,ting1,𠑅𠊰不仁也出聲譜,9,知,全清,t,895,4,耕開,ing,平,清平,1,
7769,𧯫,中莖,ting1,𧯫設幕出字林,9,知,全清,t,895,5,耕開,ing,平,清平,1,
7770,䟓,中莖,ting1,跉䟓腳細長也,9,知,全清,t,895,6,耕開,ing,平,清平,1,
7771,䆸,中莖,ting1,䆸宏闊大皃,9,知,全清,t,895,7,耕開,ing,平,清平,1,
7772,甖,烏莖,ing1,瓦器烏莖切十三,35,影,全清,Ø,896,1,耕開,ing,平,清平,1,
7773,罌,烏莖,ing1,上同,35,影,全清,Ø,896,2,耕開,ing,平,清平,1,
7774,罃,烏莖,ing1,≆說文曰備火長頸缾也,35,影,全清,Ø,896,3,耕開,ing,平,清平,1,
7775,鶯,烏莖,ing1,鳥羽文也,35,影,全清,Ø,896,4,耕開,ing,平,清平,1,
7776,嚶,烏莖,ing1,鳥聲,35,影,全清,Ø,896,5,耕開,ing,平,清平,1,
7777,櫻,烏莖,ing1,含桃,35,影,全清,Ø,896,6,耕開,ing,平,清平,1,
7778,嫈,烏莖,ing1,嫈嫇又於營切又乙諍切,35,影,全清,Ø,896,7,耕開,ing,平,清平,1,
7779,鸚,烏莖,ing1,鸚鵡能言之鳥,35,影,全清,Ø,896,8,耕開,ing,平,清平,1,
7780,譻,烏莖,ing1,譻𧭈小聲,35,影,全清,Ø,896,9,耕開,ing,平,清平,1,
7781,鸎,烏莖,ing1,黃鸎,35,影,全清,Ø,896,10,耕開,ing,平,清平,1,
7782,褮,烏莖,ing1,〾鬼衣,35,影,全清,Ø,896,11,耕開,ing,平,清平,1,
7783,𠠜,烏莖,ing1,芟除林木也出齊人要術,35,影,全清,Ø,896,12,耕開,ing,平,清平,1,
7784,莖,烏莖,ing1,爾雅釋草云姚莖涂薺,35,影,全清,Ø,896,13,耕開,ing,平,清平,1,
7785,崢,士莖,zing5,崢嶸[七/士]耕切六,28,床,全濁,z,897,1,耕開,ing,平,濁平,5,
7786,𦱊,士莖,zing5,𦱊薴草亂皃,28,床,全濁,z,897,2,耕開,ing,平,濁平,5,
7787,鬇,士莖,zing5,鬇鬡毛髮亂皃,28,床,全濁,z,897,3,耕開,ing,平,濁平,5,
7788,埩,士莖,zing5,魯城北門池也≆說文作淨,28,床,全濁,z,897,4,耕開,ing,平,濁平,5,
7789,鏳,士莖,zing5,鏳鎗玉聲,28,床,全濁,z,897,5,耕開,ing,平,濁平,5,
7790,崝,士莖,zing5,淮南子云崝陗也,28,床,全濁,z,897,6,耕開,ing,平,濁平,5,
7791,琤,楚耕,cing1,玉聲楚耕切五,27,初,次清,c,898,1,耕開,ing,平,清平,1,
7792,錚,楚耕,cing1,金聲,27,初,次清,c,898,2,耕開,ing,平,清平,1,
7793,凈,楚耕,cing1,冷也出字書,27,初,次清,c,898,3,耕開,ing,平,清平,1,
7794,棦,楚耕,cing1,木束,27,初,次清,c,898,4,耕開,ing,平,清平,1,
7795,噌,楚耕,cing1,噌吰鐘音,27,初,次清,c,898,5,耕開,ing,平,清平,1,
7796,儜,女耕,ning5,困也弱也女耕切七,12,娘,次濁,n,899,1,耕開,ing,平,濁平,5,
7797,薴,女耕,ning5,𦱊薴,12,娘,次濁,n,899,2,耕開,ing,平,濁平,5,
7798,鬡,女耕,ning5,鬇鬡,12,娘,次濁,n,899,3,耕開,ing,平,濁平,5,
7799,𧭈,女耕,ning5,譻𧭈,12,娘,次濁,n,899,4,耕開,ing,平,濁平,5,
7800,鑏,女耕,ning5,鐵鑏,12,娘,次濁,n,899,5,耕開,ing,平,濁平,5,
7801,䭢,女耕,ning5,充食,12,娘,次濁,n,899,6,耕開,ing,平,濁平,5,
7802,嬣,女耕,ning5,嬣体,12,娘,次濁,n,899,7,耕開,ing,平,濁平,5,
7803,怦,普耕,phing1,心急又中直皃普耕切十一,14,滂,次清,ph,900,1,耕開,ing,平,清平,1,
7804,姘,普耕,phing1,齊與女交罰金四兩曰姘蒼頡篇曰男女私合曰姘,14,滂,次清,ph,900,2,耕開,ing,平,清平,1,
7805,閛,普耕,phing1,門扉聲,14,滂,次清,ph,900,3,耕開,ing,平,清平,1,
7806,𤘾,普耕,phing1,牛色駁如星也,14,滂,次清,ph,900,4,耕開,ing,平,清平,1,
7807,伻,普耕,phing1,使人,14,滂,次清,ph,900,5,耕開,ing,平,清平,1,
7808,弸,普耕,phing1,弸彋也,14,滂,次清,ph,900,6,耕開,ing,平,清平,1,
7809,䍬,普耕,phing1,使羊,14,滂,次清,ph,900,7,耕開,ing,平,清平,1,
7810,㛁,普耕,phing1,急也,14,滂,次清,ph,900,8,耕開,ing,平,清平,1,
7811,匉,普耕,phing1,匉訇大聲,14,滂,次清,ph,900,9,耕開,ing,平,清平,1,
7812,抨,普耕,phing1,[彈/撣]也,14,滂,次清,ph,900,10,耕開,ing,平,清平,1,
7813,砰,普耕,phing1,砰磕如雷之聲,14,滂,次清,ph,900,11,耕開,ing,平,清平,1,
7814,轟,呼宏,hong1,群車聲呼宏切十,36,曉,次清,h,901,1,耕合,ong,平,清平,1,
7815,輷,呼宏,hong1,上同,36,曉,次清,h,901,2,耕合,ong,平,清平,1,
7816,䎕,呼宏,hong1,群鳥弄翅,36,曉,次清,h,901,3,耕合,ong,平,清平,1,
7817,揈,呼宏,hong1,擊聲,36,曉,次清,h,901,4,耕合,ong,平,清平,1,
7818,訇,呼宏,hong1,匉訇大聲又姓蜀録關中流人訇琦訇廣,36,曉,次清,h,901,5,耕合,ong,平,清平,1,
7819,鍧,呼宏,hong1,鏗鍧鐘鼓聲相雜也,36,曉,次清,h,901,6,耕合,ong,平,清平,1,
7820,渹,呼宏,hong1,水石聲又大也,36,曉,次清,h,901,7,耕合,ong,平,清平,1,
7821,𦑟,呼宏,hong1,飛聲,36,曉,次清,h,901,8,耕合,ong,平,清平,1,
7822,𥕗,呼宏,hong1,石落聲,36,曉,次清,h,901,9,耕合,ong,平,清平,1,
7823,𢝁,呼宏,hong1,㥊𢝁好嗔皃,36,曉,次清,h,901,10,耕合,ong,平,清平,1,
7824,繃,北萌,ping1,束兒衣墨子云禹葬會稽桐棺三寸葛以繃束也北萌切五,13,幫,全清,p,902,1,耕開,ing,平,清平,1,
7825,絣,北萌,ping1,振繩墨也,13,幫,全清,p,902,2,耕開,ing,平,清平,1,
7826,𢆸,北萌,ping1,上同,13,幫,全清,p,902,3,耕開,ing,平,清平,1,
7827,拼,北萌,ping1,爾雅云使也又從也,13,幫,全清,p,902,4,耕開,ing,平,清平,1,
7828,䑫,北萌,ping1,艣䑫舟具,13,幫,全清,p,902,5,耕開,ing,平,清平,1,
7829,橙,宅耕,ting5,柚屬宅耕切十二,11,澄,全濁,t,903,1,耕開,ing,平,濁平,5,
7830,揨,宅耕,ting5,撞也觸也,11,澄,全濁,t,903,2,耕開,ing,平,濁平,5,
7831,𢾊,宅耕,ting5,[同上],11,澄,全濁,t,903,3,耕開,ing,平,濁平,5,
7832,𢿦,宅耕,ting5,並上同,11,澄,全濁,t,903,4,耕開,ing,平,濁平,5,
7833,湞,宅耕,ting5,爾雅曰蠪朾螘郭璞云赤駁蚍蜉,11,澄,全濁,t,903,5,耕開,ing,平,濁平,5,
7834,朾,宅耕,ting5,爾雅曰蠪朾螘郭璞云赤駁蚍蜉,11,澄,全濁,t,903,6,耕開,ing,平,濁平,5,
7835,虰,宅耕,ting5,上同,11,澄,全濁,t,903,7,耕開,ing,平,濁平,5,
7836,憕,宅耕,ting5,失志皃又音澄,11,澄,全濁,t,903,8,耕開,ing,平,濁平,5,
7837,瞪,宅耕,ting5,直視皃,11,澄,全濁,t,903,9,耕開,ing,平,濁平,5,
7838,䆵,宅耕,ting5,䆵𥥈響也,11,澄,全濁,t,903,10,耕開,ing,平,濁平,5,
7839,䁎,宅耕,ting5,安審視也,11,澄,全濁,t,903,11,耕開,ing,平,濁平,5,
7840,䆑,宅耕,ting5,小突,11,澄,全濁,t,903,12,耕開,ing,平,濁平,5,
7841,泓,烏宏,ong1,水深也烏宏切四,35,影,全清,Ø,904,1,耕合,ong,平,清平,1,
7842,謍,烏宏,ong1,謍𧭈,35,影,全清,Ø,904,2,耕合,ong,平,清平,1,
7843,宖,烏宏,ong1,屋響又戸萌切,35,影,全清,Ø,904,3,耕合,ong,平,清平,1,
7844,𨳮,烏宏,ong1,試力士錘,35,影,全清,Ø,904,4,耕合,ong,平,清平,1,
7845,輣,薄萌,ping5,兵車薄萌切五,15,並,全濁,p,905,1,耕開,ing,平,濁平,5,
7846,棚,薄萌,ping5,棧也,15,並,全濁,p,905,2,耕開,ing,平,濁平,5,
7847,弸,薄萌,ping5,弓弱皃,15,並,全濁,p,905,3,耕開,ing,平,濁平,5,
7848,㥊,薄萌,ping5,㥊𢝁好嗔皃,15,並,全濁,p,905,4,耕開,ing,平,濁平,5,
7849,庄,薄萌,ping5,平也亦作◲广主,15,並,全濁,p,905,5,耕開,ing,平,濁平,5,
7850,娙,五莖,ging5,身長好皃漢書曰娙娥婦官也武帝邢夫人號娙娥五莖切二,4,疑,次濁,g,906,1,耕開,ing,平,濁平,5,
7851,俓,五莖,ging5,急也,4,疑,次濁,g,906,2,耕開,ing,平,濁平,5,
7852,爭,側莖,zing1,競也引也側莖切七,26,莊,全清,z,907,1,耕開,ing,平,清平,1,
7853,箏,側莖,zing1,樂器秦蒙恬所造,26,莊,全清,z,907,2,耕開,ing,平,清平,1,
7854,埩,側莖,zing1,理也治也,26,莊,全清,z,907,3,耕開,ing,平,清平,1,
7855,綪,側莖,zing1,禮云齊則綪結佩,26,莊,全清,z,907,4,耕開,ing,平,清平,1,
7856,䋫,側莖,zing1,縈也,26,莊,全清,z,907,5,耕開,ing,平,清平,1,
7857,猙,側莖,zing1,獸名似豹一角五尾又音淨,26,莊,全清,z,907,6,耕開,ing,平,清平,1,
7858,䱢,側莖,zing1,魚名,26,莊,全清,z,907,7,耕開,ing,平,清平,1,
7859,清,七情,cing1,山海經曰太畤之山淸水出焉釋名曰淸靑也去濁逺穢色如靑也又靜也澄也潔也七情切二,22,清,次清,c,908,1,清開,ing,平,清平,1,
7860,圊,七情,cing1,廁也,22,清,次清,c,908,2,清開,ing,平,清平,1,
7861,情,疾盈,zing5,靜也≆說文曰人之隂气有所欲也疾盈切五,23,從,全濁,z,909,1,清開,ing,平,濁平,5,
7862,晴,疾盈,zing5,天晴,23,從,全濁,z,909,2,清開,ing,平,濁平,5,
7863,請,疾盈,zing5,受也又在性七井二切,23,從,全濁,z,909,3,清開,ing,平,濁平,5,
7864,夝,疾盈,zing5,≆說文曰雨而夜除見星也,23,從,全濁,z,909,4,清開,ing,平,濁平,5,
7865,䝼,疾盈,zing5,䝼受賜也,23,從,全濁,z,909,5,清開,ing,平,濁平,5,
7866,精,子盈,zing1,明也正也善也好也≆說文曰擇也易曰純粹精也子盈切十五,21,精,全清,z,910,1,清開,ing,平,清平,1,
7867,氏,子盈,zing1,狋氏縣名狋音權,21,精,全清,z,910,2,清開,ing,平,清平,1,
